job_title;company_name;location;job_type;experience_level;education_req;salary_range;job_requirements;job_responsibilities;posted_date;source_platform
Product Management Officer;PERSOLKELLY Recruitment Indonesia;Prov. DKI-Jakarta;Tidak Disebutkan;1 Tahun;S1;Rp 5.800.000 - Rp 6.000.000;"•	Bachelor’s degree in Business, Management, Marketing, Finance, or other related fields.
 •	Fresh graduates are welcome to apply.
 •	Knowledge or exposure in Product Development, Customer Experience, Business Intelligence, or Marketing is an advantage.
 •	Good analytical thinking and problem-solving skills.
 •	Strong coordination and communication skills.
 •	Execution-oriented with good attention to detail and prudence principles.
 •	Adaptive, willing to learn continuously, and able to work in a dynamic environment.
 •	Demonstrates professionalism and integrity in daily work activities.";"•	Responsible for executing and monitoring daily product development activities to ensure timelines are achieved, including product specification development, pricing, UAT, OJK submission, role play, script development, and product launch implementation.
 •	Coordinate with internal stakeholders such as Actuary, Underwriting, IT, Legal & Compliance, Operations, and CCB to ensure effective implementation of product setup and campaigns.
 •	Maintain proper documentation for all product development activities, both softcopy and hardcopy.
 •	Conduct market and competitor analysis to support product development initiatives.
 •	Continuously update product library, including on-shelf and off-shelf products, to ensure all information remains accurate and up to date.
 •	Manage and maintain product collateral documentation for internal, public, and regulatory purposes..";2026-05-18;Karir.com
QA Validation Supervisor;Exeltis Indonesia;Semarang;Tidak Disebutkan;2 Tahun;S1;Rp 3.500.000 - Rp 5.000.000;• Education Pharmacist (Apt) • Min. SPV/Quality Lead with 2 years of experience or 3–5 years of experience in QA • Have a good analytical thinking, systematic, able to work independently and in a team • Have a knowledge in GMP, CAPA • Willing to be placed in Semarang;"Responsible for planning, controlling, and monitoring the implementation of validation, qualification, calibration, and in-process control; as well as preparing and reviewing related documents, in order to ensure that these processes proceed according to the established schedule and comply with applicable regulations";2026-05-18;Karir.com
Tech Admin (5);PT Danamas Insan Kreasi Andalan (DIKA);Prov. DKI-Jakarta;Tidak Disebutkan;1 Tahun;D3;Tidak dicantumkan;- Memiliki komunikasi yang baik - Proaktif - Attention to detail - Mampu bekerja dengan pengawasan minimal;- Mengelola dan menginput data teknis ke dalam sistem perusahaan (database, CRM, atau tools internal). - Melakukan monitoring dan pencatatan aktivitas sistem/aplikasi secara berkala. - Menangani tugas administratif seperti pengarsipan dokumen digital, pembuatan laporan harian/mingguan.;2026-05-18;Karir.com
Sekertaris;PT Haka Motor;Jakarta Selatan;Tidak Disebutkan;0 Tahun;S1;Tidak dicantumkan;Wanita Pendidikan minimal S1 Menguasai korespondensi /surat menyurat Berpenampilan menarik Menguasai Ms.Office Memiliki komunikasi yang baik Memiliki kemampuan Bahasa Inggris yang baik;-;2026-05-18;Karir.com
Site manager;PT Grha Sinar Abadi;Surabaya;Tidak Disebutkan;2 Tahun;S1, D3;Rp 4.500.000 - Rp 6.000.000;"Teliti , jujur , cekatan dan terorganisir
 Menguasai manajemen lapangan dan mengerti proses / pengaturan langkah2 kerja untuk proyekyang rapi dan efisien
 Menguasai penggunaan komputer untuk membuat laporan dan dokumentasi foto
 Menguasai software Autocad , MS Project Memiliki wawasan akan material finishing bangunan
 Dapat efektif bekerjasama secara tim Menguasai / Pengalaman di facade merupakan point Plus";"Membuat detail Time Schedule Project.
 Membuat progress & kurva S Melakukan pengawasan terhadap pekerjaan dan mutu.
 Dapat menghitung keperluan material , menyiapkan peralatan , tenaga kerja Mengkoordinasikan pekerjaan dengan bagian/pihak terkait, baik yang akan datang atau sedang berjalan.
 Monitoring project berjalan di lapangan";2026-05-18;Karir.com
Supervisor Proyek;PT Grha Sinar Abadi;Surabaya;Tidak Disebutkan;1 Tahun;S1, D3;Rp 4.000.000 - Rp 5.500.000;"Menguasai Program Ms. Office ( Excel, Word, Powerpoint, Nitro, dan lainnya)
 Menguasai AUTOCAD
 Mampu Membuat RAB, RAPP
 Mampu membuat perhitungan Volume Hasil Pekerjaan
 Mampu Membaca dan Memahami Gambar Rencana Kerja
 Siap Bekerja Lembur/ Bekerja dihari Minggu/Tanggal Merah
 Siap Bekerja dibawah Tekanan
 Displin, Tanggung Jawab atas pekerjaan
 Siap ditempatkan ke Luar Kota
 Dapat Bekerja Individu dan Maupun Team";"Pembuatan dan Pengontrolan method of statement dengan sub kontraktor / mandor
 Perhitungan volume upah thd gbr pelaksanaan ( opname )
 Pencarian mandor atau sub kontraktor
 Pengecekan laporan harian ( fabrikasi dan instalasi ) Sidak lapangan croscek volume terpasang Perhitungan satuan harga pelaksanaan thd gbr pelaksanaan Pengurusan semua polish asuransi ( thd pekerja ) Compare harga Mandor dan sub kontraktor ( Negosiasi ) Pengontrolan progress terhadap kemajuan pekerjaan mandor dan atau sub kontraktor Pembuatan risalah pembayaran terhadap Sub kontraktor Pembuatan laporan upah ( compare harga & volume ) terhadap RAP Evaluasi mutu mandor dan subkontraktor Evaluasi harga satuan pekerjaan terhadap pelaksanaan";2026-05-18;Karir.com
Interns & Fresh Graduates Talent Pool;EMTEK (PT Elang Mahkota Teknologi, Tbk);Prov. DKI-Jakarta;Tidak Disebutkan;0 Tahun;S2, S1;Tidak dicantumkan;Any education background are welcomed to apply.;This is talent pool for internship and fresh graduates entry level for Emtek Group. Feel free to drop CV for any internship / fresh graduates entry level vacancies. We will contact candidate directly should there are suitable opportunities.;2026-05-18;Karir.com
Intern Learning and Development;EMTEK (PT Elang Mahkota Teknologi, Tbk);Prov. DKI-Jakarta;Tidak Disebutkan;0 Tahun;S2, S1, D3;Tidak dicantumkan;Any education background are welcomed to apply.;This is talent pool for internship and fresh graduates entry level for Emtek Group, with a primary focus on Learning and Development roles. Feel free to drop CV for any internship / fresh graduates entry level vacancies. We will contact candidate directly should there are suitable opportunities.;2026-05-18;Karir.com
Baker / Kitchen;PT Wynfield Global Ventures;Prov. DKI-Jakarta;Tidak Disebutkan;0 Tahun;D3, SMA;Tidak dicantumkan;"Pria/Wanita, usia maks 27th
 Siap Kerja 3 Shift
 Sehat Jasmani dan Rohani
 Penempatan kerja area JABODETABEK";-;2026-05-18;Karir.com
Customer Service (Inbound);PT Binajasa Abadikarya;Jakarta Timur;Tidak Disebutkan;1 Tahun;S1, D3;Rp 5.500.000 - Rp 6.000.000;Pendidikan Min. D3-S1 Berpengalaman minimal 1 tahun (Fresh Graduate bisa mendaftar) Memiliki skill komunikasi yang baik dan ramah Dapat mengoperasikan Ms. Word dan Ms. Excel Bersedia ditempatkan di lokasi penempatan bekerja user;"Menerima panggilan atau pesan dari pelanggan.
 Mengidentifikasi dan memberikan informasi serta solusi atas pertanyaan atau kendala.
 Meneruskan kendala atau keluhan kompleks dari pelanggan kepada departemen terkait.
 Follow-up dan memberikan kabar terbaru terkait update permasalahan kepada pelanggan.
 Mencatat setiap interaksi pelanggan ke dalam sistem ticketing.";2026-05-18;Karir.com
Koki / Juru Masak;PT Wynfield Global Ventures;Prov. DKI-Jakarta;Tidak Disebutkan;2 Tahun;D3, SMA;Tidak dicantumkan;"Pria usia maks. 30 th
 Pendidikan Minimal SMK
 Berpengalaman di Restoran Masakan Indonesia min 2 th
 Fresh Graduate dipersilahkan melamar, dengan pendidikan Min. SMK Tataboga";-;2026-05-18;Karir.com
Sales Manager;PT Wynfield Global Ventures;Tangerang;Tidak Disebutkan;5 Tahun;S1;Tidak dicantumkan;"Maximum age 40 years old
 Candidate must possess at least a Bachelor's Degree, Agriculture/Aquaculture/Forestry, Marketing, Veterinary or equivalent
 Required language(s): English, Bahasa Indonesia
 At least 5 year(s) of working experience in the related field is required for this position
 Applicants must be willing to work in Balaraja, Tangerang
 Preferably Manager / Assistant Managers specializing in Sales - Corporate or equivalent
 Full-Time position(s) available";-;2026-05-18;Karir.com
Interior Design;PT Wynfield Global Ventures;Prov. DKI-Jakarta;Tidak Disebutkan;3 Tahun;S1;Tidak dicantumkan;"Memiliki loyalitas dan integritas yang tinggi di dalam perusahaan.
 Usia maksimal 30 tahun.
 Pendidikan S1 arsitek, design interior.
 Berpengalaman minimal 3 tahun.
 Memiliki wawasan yang baik dalam design dan concept.
 Mengerti dan memahami konstruksi dan detail pekerjaan interior.
 Menguasai software autocad, sketchup, 3D max.
 Menguasai 3D render dengan vray 3D max.
 Mempunyai pengalaman kerja di bidang yang interior di konsultant dan kontraktor interior.
 Wajib melampirkan contoh konsep, presentasi, hasil render, gambar detail.
 Siap bekerja dalam tekanan dan untuk target.
 Mampu menyelesaikan masalah dengan baik.
 Mempunyai inovasi yang tinggi dalam design dan material.
 Menguasai bahasa inggris.";-;2026-05-18;Karir.com
Animator;PT Wynfield Global Ventures;Prov. DKI-Jakarta;Tidak Disebutkan;0 Tahun;S1, D3, SMA;Tidak dicantumkan;"Laki - Laki & Perempuan
 Pendidikan SMA / SMK 
 Fresh Graduate dipersilahkan melamar
 Usia minimal 20 Tahun";-;2026-05-18;Karir.com
Ilustrator;PT Wynfield Global Ventures;Prov. DKI-Jakarta;Tidak Disebutkan;1 Tahun;S1, D3, SMA;Tidak dicantumkan;Usia min 21 Tahun Pendidikan Multimedia/DKV/Desain Grafis (masih kuliah/baru lulus). Pengalaman minimal 1 tahun/kurang (punya portofolio/ hasil project) menguasai Adobe Illustrator/Photoshop/Corel Mampu mengedit dan membuat icon, design dan video editing Memiliki Laptop Bersedia ditempatkan di Gading Serpong, Tangerang;"Bekerjasama dengan UI/UX dan pihak terkait untuk merancang ide visual terbaik
 Menciptakan desain penuh makna dan berkualitas untuk meningkatkan brand
 Membuat design element yang selaras dengan produk
 Membantu proses editing video sebagai campaign produk";2026-05-18;Karir.com
Sales and Marketing;PT Wynfield Global Ventures;Prov. DKI-Jakarta;Tidak Disebutkan;0 Tahun;S1, D3;Tidak dicantumkan;"Overall handing customer's product marketing initiative and campaign
 Account opening assistance in terms of documentation and follow up of the process
 Generate potential lead list from online marketing for telemarketers to contact (Cold calls)
 Accomplishes sales and organization mission by completing related results as needed.
 Leads Relationship Management maintenance on Customer tool (SFDC) for existing and new leads
 To conduct customer experience survey via call to gather customer’s feedback
 Observes, attending sales and service calls.
 Practices sales process by calling on existing and then new accounts; adhering to established sales steps
 Preferably live in Malaysia";-;2026-05-18;Karir.com
Sales & Marketing;PT Wynfield Global Ventures;Bandung;Tidak Disebutkan;1 Tahun;SMA;Tidak dicantumkan;"Pria/Wanita, maks. 35 tahun
 Minimal pendidikan SMA
 Berpengalaman di bidangnya minimal 1 tahun
 Dapat bekerja individu maupun tim
 Teliti, jujur, dan cekatan
 Domisili Bandung";-;2026-05-18;Karir.com
General Manager;PT Wynfield Global Ventures;Bandung;Tidak Disebutkan;3 Tahun;S1;Tidak dicantumkan;"Pria/Wanita, maks. 40 tahun
 Minimal pendidikan S1
 Berpengalaman di bidangnya minimal 3 tahun
 Mempunyai jiwa leadership yang baik
 Dapat bekerja individu maupun tim
 Bertanggung jawab, teliti, jujur, dan cekatan
 Domisili Bandung";-;2026-05-18;Karir.com
ADMINISTRASI SALES;Perusahaan dirahasiakan;Semarang;Tidak Disebutkan;1 Tahun;Apa Saja;Tidak dicantumkan;Kualifikasi: Pendidikan minimal D3 sederajat Pengalaman di bidang administrasi sales menjadi nilai tambah Mampu mengoperasikan Microsoft Office terutama Excel Teliti, disiplin, dan mampu bekerja dalam tim Memiliki kemampuan komunikasi yang baik Kirim CV dan lamaran Anda ke: Email: sugiarto.anugrahprima@gmail.com Subject: Lamaran Administrasi Sales – Nama Lengkap;ADMINISTRASI SALES Kami membuka kesempatan bagi kandidat yang teliti, komunikatif, dan bertanggung jawab untuk bergabung bersama tim kami sebagai Administrasi Sales. Tanggung Jawab: Membuat dan mengelola dokumen penjualan (quotation, invoice, surat jalan, dll.) Menginput data penjualan ke sistem Melakukan follow up pesanan pelanggan Berkoordinasi dengan tim sales dan gudang terkait pengiriman barang Membuat laporan penjualan harian dan bulanan Menjaga arsip dokumen administrasi dengan rapi;2026-05-18;Karir.com
Administrasi;PT Wynfield Global Ventures;Bandung;Tidak Disebutkan;1 Tahun;D3, SMA;Tidak dicantumkan;"Pria/Wanita, maks. 35 tahun
 Minimal pendidikan SMA
 Berpengalaman di bidangnya minimal 1 tahun
 Dapat bekerja individu maupun tim
 Teliti, jujur, dan cekatan
 Domisili Bandung";-;2026-05-18;Karir.com
Barista;PT Wynfield Global Ventures;Prov. DKI-Jakarta;Tidak Disebutkan;1 Tahun;SMA;Tidak dicantumkan;"Pend Min SMU/SMK
 Pengalaman Min 1 Thn (Fresh Gruide pertimbangkan )
 Usia 18 - 30 Th Max
 Background Fun Terhadap Pelayanan Coffee,Dll
 Bisa Kerja Sama Team";-;2026-05-18;Karir.com
Graphic Designer;PT Wynfield Global Ventures;Bandung;Tidak Disebutkan;1 Tahun;S1, D3;Tidak dicantumkan;"Pria/Wanita, maks. 35 tahun
 Minimal pendidikan D3
 Berpengalaman di bidangnya minimal 1 tahun
 Dapat bekerja individu maupun tim
 Teliti, jujur, dan cekatan
 Domisili Bandung";-;2026-05-18;Karir.com
Supir;PT Wynfield Global Ventures;Prov. DKI-Jakarta;Tidak Disebutkan;2 Tahun;D3, SMA;Tidak dicantumkan;"Pria, maks. 45 tahun
 Pendidikan minimal SMA sederajat
 Berpengalaman minimal 2 tahun
 Memiliki SIM A
 Menguasai rute jakarta dan bandung";-;2026-05-18;Karir.com
SPG;PT Wynfield Global Ventures;Prov. DKI-Jakarta;Tidak Disebutkan;1 Tahun;SMA;Tidak dicantumkan;"Wanita, maks. 35 tahun
 Minimal pendidikan SMA
 Berpengalaman di bidangnya minimal 1 tahun
 Dapat bekerja individu maupun tim
 Teliti, jujur, dan cekatan
 Berpenampilan menarik
 Domisili Bandung dan Jakarta";-;2026-05-18;Karir.com
Merchandiser;PT Wynfield Global Ventures;Bandung;Tidak Disebutkan;2 Tahun;D3, SMA;Tidak dicantumkan;"Usia maksimal 30 tahun
 Pendidikan minimal SMU sederajat Berpengalaman di bidangnya minimal 2 tahun
 Mampu berkomunikasi dengan baik
 Mampu bekerjasama dengan baik
 Mampu mencapai target yang telah ditentukan
 Domisili Bandung";-;2026-05-18;Karir.com
Brand Development;PT Wynfield Global Ventures;Prov. DKI-Jakarta;Tidak Disebutkan;2 Tahun;S1;Tidak dicantumkan;"Candidate must possess at least a Bachelor's Degree in any major
 At least 2 years of working experiences in promotion and marketing area for FMCG or Manufacturing
 Having knowledge about Brand Development, Planning & Strategy, Market Research, Promotion (ATL & BTL), Brand Communication, Digital Marketing, and E-Commerce,
 Good Communication and Presentation Skill";"Plan and implement marketing and promotion activities
 Researching and analyzing the market consumers and competitors
 Organizing brand promotional event and activating
 Create and develop end to end strategic brand communication
 Create and maintain primary brand image activites report";2026-05-18;Karir.com
Photographer Journalist;PT Wynfield Global Ventures;Bandung;Tidak Disebutkan;1 Tahun;S1, D3;Tidak dicantumkan;"Pria/Wanita, maks. 35 tahun
 Minimal pendidikan D3
 Berpengalaman di bidangnya minimal 1 tahun
 Dapat bekerja individu maupun tim
 Teliti, jujur, dan cekatan
 Domisili Bandung";-;2026-05-18;Karir.com
Sales Canvasser (Prabumulih);PT Qerja Manfaat Bangsa (QMB);Jakarta Barat;Tidak Disebutkan;1 Tahun;SMA;Rp 3.000.000 - Rp 4.000.000;"Pria/Wanita
 Pendidikan minimal SMA/SMK
 Berpengalaman di bidang sales min. 1 tahun diutamakan
 Berpenampilan menarik, supel, dan lancar berkomunikasi
 Mengerti dan memahami perkembangan teknologi dan gadget
 Mampu bekerja dengan target & team
 Memiliki kendaraan pribadi dan HP Android
 Fresh graduate dipersilakan melamar
 Berpengalaman menjadi Sales Canvas menjadi nilai tambah";Klien kami sedang mencari staff untuk posisi Sales Canvasser.;2026-05-18;Karir.com
Sales Canvasser (Kudus);PT Qerja Manfaat Bangsa (QMB);Jakarta Barat;Tidak Disebutkan;1 Tahun;Apa Saja;Rp 3.000.000 - Rp 4.000.000;"Pria/Wanita
 Pendidikan minimal SMA/SMK
 Berpengalaman di bidang sales min. 1 tahun diutamakan
 Berpenampilan menarik, supel, dan lancar berkomunikasi
 Mengerti dan memahami perkembangan teknologi dan gadget
 Mampu bekerja dengan target & team
 Memiliki kendaraan pribadi dan HP Android
 Fresh graduate dipersilakan melamar
 Berpengalaman menjadi Sales Canvas menjadi nilai tambah";Klien kami sedang mencari staff untuk posisi Sales Canvasser.;2026-05-18;Karir.com
Sales Canvasser (Demak);PT Qerja Manfaat Bangsa (QMB);Jakarta Barat;Tidak Disebutkan;1 Tahun;Apa Saja;Rp 3.000.000 - Rp 4.000.000;"Pria/Wanita
 Pendidikan minimal SMA/SMK
 Berpengalaman di bidang sales min. 1 tahun diutamakan
 Berpenampilan menarik, supel, dan lancar berkomunikasi
 Mengerti dan memahami perkembangan teknologi dan gadget
 Mampu bekerja dengan target & team
 Memiliki kendaraan pribadi dan HP Android
 Fresh graduate dipersilakan melamar
 Berpengalaman menjadi Sales Canvas menjadi nilai tambah";Klien kami sedang mencari staff untuk posisi Sales Canvasser.;2026-05-18;Karir.com
Sales Canvasser (Jepara);PT Qerja Manfaat Bangsa (QMB);Jakarta Barat;Tidak Disebutkan;1 Tahun;Apa Saja;Rp 3.000.000 - Rp 4.000.000;"Pria/Wanita
 Pendidikan minimal SMA/SMK
 Berpengalaman di bidang sales min. 1 tahun diutamakan
 Berpenampilan menarik, supel, dan lancar berkomunikasi
 Mengerti dan memahami perkembangan teknologi dan gadget
 Mampu bekerja dengan target & team
 Memiliki kendaraan pribadi dan HP Android
 Fresh graduate dipersilakan melamar
 Berpengalaman menjadi Sales Canvas menjadi nilai tambah";Klien kami sedang mencari staff untuk posisi Sales Canvasser.;2026-05-18;Karir.com
Promotor (Banyuasin);PT Qerja Manfaat Bangsa (QMB);Jakarta Barat;Tidak Disebutkan;1 Tahun;SMA;Rp 3.000.000 - Rp 4.000.000;"Pria/Wanita
 Pendidikan minimal SMA/SMK
 Berpengalaman di bidang sales min. 1 tahun diutamakan
 Berpenampilan menarik, supel, dan lancar berkomunikasi
 Mengerti dan memahami perkembangan teknologi dan gadget
 Mampu bekerja dengan target & team
 Memiliki kendaraan pribadi dan HP Android
 Fresh graduate dipersilakan melamar
 Berpengalaman menjadi Sales Canvas menjadi nilai tambah";Klien kami sedang mencari staff untuk posisi Promotor;2026-05-18;Karir.com
Sales Canvasser (Pati);PT Qerja Manfaat Bangsa (QMB);Jakarta Barat;Tidak Disebutkan;1 Tahun;Apa Saja;Rp 3.000.000 - Rp 4.000.000;"Pria/Wanita
 Pendidikan minimal SMA/SMK
 Berpengalaman di bidang sales min. 1 tahun diutamakan
 Berpenampilan menarik, supel, dan lancar berkomunikasi
 Mengerti dan memahami perkembangan teknologi dan gadget
 Mampu bekerja dengan target & team
 Memiliki kendaraan pribadi dan HP Android
 Fresh graduate dipersilakan melamar
 Berpengalaman menjadi Sales Canvas menjadi nilai tambah";Klien kami sedang mencari staff untuk posisi Sales Canvasser.;2026-05-18;Karir.com
Promotor (Nganjuk);PT Qerja Manfaat Bangsa (QMB);Jakarta Barat;Tidak Disebutkan;1 Tahun;Apa Saja;Rp 3.000.000 - Rp 4.000.000;"Pria/Wanita
 Pendidikan minimal SMA/SMK
 Berpengalaman di bidang sales min. 1 tahun diutamakan
 Berpenampilan menarik, supel, dan lancar berkomunikasi
 Mengerti dan memahami perkembangan teknologi dan gadget
 Mampu bekerja dengan target & team
 Memiliki kendaraan pribadi dan HP Android
 Fresh graduate dipersilakan melamar
 Berpengalaman menjadi Sales Canvas menjadi nilai tambah";Klien kami sedang mencari staff untuk posisi Promotor.;2026-05-18;Karir.com
Promotor (Blitar);PT Qerja Manfaat Bangsa (QMB);Jakarta Barat;Tidak Disebutkan;1 Tahun;Apa Saja;Rp 3.000.000 - Rp 4.000.000;"Pria/Wanita
 Pendidikan minimal SMA/SMK
 Berpengalaman di bidang sales min. 1 tahun diutamakan
 Berpenampilan menarik, supel, dan lancar berkomunikasi
 Mengerti dan memahami perkembangan teknologi dan gadget
 Mampu bekerja dengan target & team
 Memiliki kendaraan pribadi dan HP Android
 Fresh graduate dipersilakan melamar
 Berpengalaman menjadi Sales Canvas menjadi nilai tambah";Klien kami sedang mencari staff untuk posisi Promotor.;2026-05-18;Karir.com
Promotor (Kediri);PT Qerja Manfaat Bangsa (QMB);Jakarta Barat;Tidak Disebutkan;1 Tahun;Apa Saja;Rp 3.000.000 - Rp 4.000.000;"Pria/Wanita
 Pendidikan minimal SMA/SMK
 Berpengalaman di bidang sales min. 1 tahun diutamakan
 Berpenampilan menarik, supel, dan lancar berkomunikasi
 Mengerti dan memahami perkembangan teknologi dan gadget
 Mampu bekerja dengan target & team
 Memiliki kendaraan pribadi dan HP Android
 Fresh graduate dipersilakan melamar
 Berpengalaman menjadi Sales Canvas menjadi nilai tambah";Klien kami sedang mencari staff untuk posisi Promotor.;2026-05-18;Karir.com
Promotor (Tulungagung);PT Qerja Manfaat Bangsa (QMB);Jakarta Barat;Tidak Disebutkan;1 Tahun;Apa Saja;Rp 3.000.000 - Rp 4.000.000;"Pria/Wanita
 Pendidikan minimal SMA/SMK
 Berpengalaman di bidang sales min. 1 tahun diutamakan
 Berpenampilan menarik, supel, dan lancar berkomunikasi
 Mengerti dan memahami perkembangan teknologi dan gadget
 Mampu bekerja dengan target & team
 Memiliki kendaraan pribadi dan HP Android
 Fresh graduate dipersilakan melamar
 Berpengalaman menjadi Sales Canvas menjadi nilai tambah";Klien kami sedang mencari staff untuk posisi Promotor.;2026-05-18;Karir.com
Promotor (Trenggalek);PT Qerja Manfaat Bangsa (QMB);Jakarta Barat;Tidak Disebutkan;1 Tahun;Apa Saja;Rp 3.000.000 - Rp 4.000.000;"Pria/Wanita
 Pendidikan minimal SMA/SMK
 Berpengalaman di bidang sales min. 1 tahun diutamakan
 Berpenampilan menarik, supel, dan lancar berkomunikasi
 Mengerti dan memahami perkembangan teknologi dan gadget
 Mampu bekerja dengan target & team
 Memiliki kendaraan pribadi dan HP Android
 Fresh graduate dipersilakan melamar
 Berpengalaman menjadi Sales Canvas menjadi nilai tambah";Klien kami sedang mencari staff untuk posisi Promotor.;2026-05-18;Karir.com
Promotor (Pacitan);PT Qerja Manfaat Bangsa (QMB);Jakarta Barat;Tidak Disebutkan;1 Tahun;Apa Saja;Rp 3.000.000 - Rp 4.000.000;"Pria/Wanita
 Pendidikan minimal SMA/SMK
 Berpengalaman di bidang sales min. 1 tahun diutamakan
 Berpenampilan menarik, supel, dan lancar berkomunikasi
 Mengerti dan memahami perkembangan teknologi dan gadget
 Mampu bekerja dengan target & team
 Memiliki kendaraan pribadi dan HP Android
 Fresh graduate dipersilakan melamar
 Berpengalaman menjadi Sales Canvas menjadi nilai tambah";Klien kami sedang mencari staff untuk posisi Promotor.;2026-05-18;Karir.com
Promotor (Ponorogo);PT Qerja Manfaat Bangsa (QMB);Jakarta Barat;Tidak Disebutkan;1 Tahun;Apa Saja;Rp 3.000.000 - Rp 4.000.000;"Pria/Wanita
 Pendidikan minimal SMA/SMK
 Berpengalaman di bidang sales min. 1 tahun diutamakan
 Berpenampilan menarik, supel, dan lancar berkomunikasi
 Mengerti dan memahami perkembangan teknologi dan gadget
 Mampu bekerja dengan target & team
 Memiliki kendaraan pribadi dan HP Android
 Fresh graduate dipersilakan melamar
 Berpengalaman menjadi Sales Canvas menjadi nilai tambah";Klien kami sedang mencari staff untuk posisi Promotor.;2026-05-18;Karir.com
Promotor (Ngawi);PT Qerja Manfaat Bangsa (QMB);Jakarta Barat;Tidak Disebutkan;1 Tahun;Apa Saja;Rp 3.000.000 - Rp 4.000.000;"Pria/Wanita
 Pendidikan minimal SMA/SMK
 Berpengalaman di bidang sales min. 1 tahun diutamakan
 Berpenampilan menarik, supel, dan lancar berkomunikasi
 Mengerti dan memahami perkembangan teknologi dan gadget
 Mampu bekerja dengan target & team
 Memiliki kendaraan pribadi dan HP Android
 Fresh graduate dipersilakan melamar
 Berpengalaman menjadi Sales Canvas menjadi nilai tambah";Klien kami sedang mencari staff untuk posisi Promotor.;2026-05-18;Karir.com
Promotor (Magetan);PT Qerja Manfaat Bangsa (QMB);Jakarta Barat;Tidak Disebutkan;1 Tahun;Apa Saja;Rp 3.000.000 - Rp 4.000.000;"Pria/Wanita
 Pendidikan minimal SMA/SMK
 Berpengalaman di bidang sales min. 1 tahun diutamakan
 Berpenampilan menarik, supel, dan lancar berkomunikasi
 Mengerti dan memahami perkembangan teknologi dan gadget
 Mampu bekerja dengan target & team
 Memiliki kendaraan pribadi dan HP Android
 Fresh graduate dipersilakan melamar
 Berpengalaman menjadi Sales Canvas menjadi nilai tambah";Klien kami sedang mencari staff untuk posisi Promotor.;2026-05-18;Karir.com
Promotor (Madiun);PT Qerja Manfaat Bangsa (QMB);Jakarta Barat;Tidak Disebutkan;1 Tahun;Apa Saja;Rp 3.000.000 - Rp 4.000.000;"Pria/Wanita
 Pendidikan minimal SMA/SMK
 Berpengalaman di bidang sales min. 1 tahun diutamakan
 Berpenampilan menarik, supel, dan lancar berkomunikasi
 Mengerti dan memahami perkembangan teknologi dan gadget
 Mampu bekerja dengan target & team
 Memiliki kendaraan pribadi dan HP Android
 Fresh graduate dipersilakan melamar
 Berpengalaman menjadi Sales Canvas menjadi nilai tambah";Klien kami sedang mencari staff untuk posisi Promotor.;2026-05-18;Karir.com
Sales Canvasser (Tulungagung;PT Qerja Manfaat Bangsa (QMB);Jakarta Barat;Tidak Disebutkan;1 Tahun;Apa Saja;Rp 3.000.000 - Rp 4.000.000;"Pria/Wanita
 Pendidikan minimal SMA/SMK
 Berpengalaman di bidang sales min. 1 tahun diutamakan
 Berpenampilan menarik, supel, dan lancar berkomunikasi
 Mengerti dan memahami perkembangan teknologi dan gadget
 Mampu bekerja dengan target & team
 Memiliki kendaraan pribadi dan HP Android
 Fresh graduate dipersilakan melamar
 Berpengalaman menjadi Sales Canvas menjadi nilai tambah";Klien kami sedang mencari staff untuk posisi Sales Canvasser.;2026-05-18;Karir.com
Sales Canvasser (Pacitan);PT Qerja Manfaat Bangsa (QMB);Jakarta Barat;Tidak Disebutkan;1 Tahun;Apa Saja;Rp 3.000.000 - Rp 4.000.000;"Pria/Wanita
 Pendidikan minimal SMA/SMK
 Berpengalaman di bidang sales min. 1 tahun diutamakan
 Berpenampilan menarik, supel, dan lancar berkomunikasi
 Mengerti dan memahami perkembangan teknologi dan gadget
 Mampu bekerja dengan target & team
 Memiliki kendaraan pribadi dan HP Android
 Fresh graduate dipersilakan melamar
 Berpengalaman menjadi Sales Canvas menjadi nilai tambah";Klien kami sedang mencari staff untuk posisi Sales Canvasser.;2026-05-18;Karir.com
Sales Canvasser (Ponorogo);PT Qerja Manfaat Bangsa (QMB);Jakarta Barat;Tidak Disebutkan;1 Tahun;Apa Saja;Rp 3.000.000 - Rp 4.000.000;"Pria/Wanita
 Pendidikan minimal SMA/SMK
 Berpengalaman di bidang sales min. 1 tahun diutamakan
 Berpenampilan menarik, supel, dan lancar berkomunikasi
 Mengerti dan memahami perkembangan teknologi dan gadget
 Mampu bekerja dengan target & team
 Memiliki kendaraan pribadi dan HP Android
 Fresh graduate dipersilakan melamar
 Berpengalaman menjadi Sales Canvas menjadi nilai tambah";Klien kami sedang mencari staff untuk posisi Sales Canvasser.;2026-05-18;Karir.com
