job_title;company_name;location;country;job_type;experience;education;salary_min;salary_max;skills;keyword;platform;post_date;job_url
Account Manager;PT Solman Tekno Asia;Jakarta Pusat, DKI Jakarta;United States;Full-time;1–3 tahun;Minimal Sarjana (S1);;;;Technical Account Manager;Glints;13 jam yang lalu;Tidak dicantumkan
ACCOUNT MANAGER;PT Tech Security Solution;Jakarta Selatan, DKI Jakarta;Indonesia;Full-time;3–5 tahun;Minimal Sarjana (S1);;;;Technical Account Manager;Glints;Kemarin;Tidak dicantumkan
Account Manager;Sarana Solusindo Informatika;Jakarta Selatan, DKI Jakarta;Indonesia;Full-time;1–3 tahun;Minimal Sarjana (S1);;;;Technical Account Manager;Glints;Kemarin;Tidak dicantumkan
Account Manager;PT. MEA DIGITAL MARKETING;Bandung, Jawa Barat;Indonesia;Contract;1–3 tahun;Minimal Sarjana (S1);;;;Technical Account Manager;Glints;3 hari yang lalu;Tidak dicantumkan
Account Manager;Sevenads;Jakarta Barat, DKI Jakarta;Indonesia;Contract;3–5 tahun;Minimal Sarjana (S1);;;;Technical Account Manager;Glints;3 hari yang lalu;Tidak dicantumkan
Account Manager;PT CAB Tekno Kreasi;Jakarta Selatan, DKI Jakarta;Indonesia;Full-time;3–5 tahun;Minimal Sarjana (S1);;;;Technical Account Manager;Glints;6 hari yang lalu;Tidak dicantumkan
Account Manager;Mavrix Global Production;Jakarta Pusat, DKI Jakarta;United States;Full-time;1–3 tahun;Minimal Sarjana (S1);;;;Technical Account Manager;Glints;6 hari yang lalu;Tidak dicantumkan
Account Manager;PT Skyworx Indonesia;Jakarta Pusat, DKI Jakarta;United States;Full-time;3–5 tahun;Minimal Diploma (D1 - D4);;;;Technical Account Manager;Glints;8 hari yang lalu;Tidak dicantumkan
Account Manager;PT. Kalinda Sukses Abadi;Tangerang Selatan, Banten;Indonesia;Full-time;1–3 tahun;Minimal Sarjana (S1);;;;Technical Account Manager;Glints;9 hari yang lalu;Tidak dicantumkan
Account Manager;PT. Gosyen Solusindo Cemerlang;Jakarta Selatan, DKI Jakarta;Indonesia;Full-time;3–5 tahun;Minimal Sarjana (S1);;;;Technical Account Manager;Glints;16 hari yang lalu;Tidak dicantumkan
Account Manager;GENERATE RECRUITMENT AGENCY;Jakarta Barat, DKI Jakarta;Indonesia;Full-time;3–5 tahun;Minimal Sarjana (S1);;;;Technical Account Manager;Glints;19 hari yang lalu;Tidak dicantumkan
Account Manager;PT. Quad Sinergi Teknologi;Jakarta Barat, DKI Jakarta;Indonesia;Full-time;1–3 tahun;Minimal Sarjana (S1);;;;Technical Account Manager;Glints;23 hari yang lalu;Tidak dicantumkan
Technical Writer;Pt Satkomindo Mediyasa;Jakarta Selatan, DKI Jakarta;Indonesia;Contract;1–3 tahun;Minimal Sarjana (S1);;;;Technical Writer;Glints;15 hari yang lalu;Tidak dicantumkan
Technical Writer;PT. Fortech Indotama;Jakarta Selatan, DKI Jakarta;Indonesia;Freelance;3–5 tahun;Minimal Sarjana (S1);;;;Technical Writer;Glints;16 hari yang lalu;Tidak dicantumkan
Technical Writer;WIRATEK SOLUSI ASIA;Jakarta Selatan, DKI Jakarta;Indonesia;Contract;1–3 tahun;Minimal Sarjana (S1);;;;Technical Writer;Glints;23 hari yang lalu;Tidak dicantumkan
Technical Writer;PT Data Labs Analytics;Jakarta Pusat, DKI Jakarta;United States;Full-time;1–3 tahun;Minimal Sarjana (S1);;;;Technical Writer;Glints;23 hari yang lalu;Tidak dicantumkan
Technical Writer;Yasa Nusa Talenta;Jakarta Barat, DKI Jakarta;Indonesia;Full-time;3–5 tahun;Minimal Sarjana (S1);;;;Technical Writer;Glints;7 hari yang lalu;Tidak dicantumkan
Technical Writer;IYKRA;Jakarta Selatan, DKI Jakarta;Indonesia;Contract;1–3 tahun;Minimal Sarjana (S1);;;;Technical Writer;Glints;22 hari yang lalu;Tidak dicantumkan
IT Technical Writer;Lawencon International;Jakarta Selatan, DKI Jakarta;Indonesia;Full-time;1–3 tahun;Minimal Diploma (D1 - D4);;;;Technical Writer;Glints;21 hari yang lalu;Tidak dicantumkan
IT Technical Writer;PT. Inovasi Mitra Sejati;Tangerang, Banten;Indonesia;Full-time;Minimal Diploma (D1 - D4);English Language;;;;Technical Writer;Glints;13 hari yang lalu;Tidak dicantumkan
Internship Technical Writer;PT Eannovate Creative Technology;Tangerang, Banten;Indonesia;Remote;Magang;Minimal Diploma (D1 - D4);;;;Technical Writer;Glints;12 hari yang lalu;Tidak dicantumkan
Technical Writer Software;Indo Trans Teknologi;Bandung, Jawa Barat;Indonesia;Full-time;1–3 tahun;Minimal Sarjana (S1);;;;Technical Writer;Glints;13 hari yang lalu;Tidak dicantumkan
IT Technical Writer;PT SINAR DIGITAL NUSANTARA;Bandung, Jawa Barat;Indonesia;Contract;1–3 tahun;Minimal Sarjana (S1);;;;Technical Writer;Glints;24 hari yang lalu;Tidak dicantumkan
Creative Writer;Lux Entertainment;Cimahi, Jawa Barat;Indonesia;Full-time;Minimal Diploma (D1 - D4);Content Writing;;;;Technical Writer;Glints;Kemarin;Tidak dicantumkan
Content Writer;PT Mahkota Kreasi Indonesia;Bekasi, Jawa Barat;Indonesia;Full-time;Penuh Waktu;1–3 tahun;;;;Technical Writer;Glints;4 jam yang lalu;Tidak dicantumkan
Creative Writer;Kelanara Studio;Bogor, Jawa Barat;Indonesia;Internship;1–3 tahun;Minimal SMA/SMK;;;;Technical Writer;Glints;15 hari yang lalu;Tidak dicantumkan
Penulis Naskah Screen Writer (Internship/Magang);Riplay Studio;Surabaya, Jawa Timur;Indonesia;Internship;Minimal SMA/SMK;Article Writing;;;;Technical Writer;Glints;9 hari yang lalu;Tidak dicantumkan
SCRIPT WRITER & CONTENT IDEATOR;Denny Sumargo Management;Jakarta Barat, DKI Jakarta;Indonesia;Full-time;1–3 tahun;Minimal SMA/SMK;;;;Technical Writer;Glints;Kemarin;Tidak dicantumkan
Content Writer;Penderma.id;Bandung, Jawa Barat;Indonesia;Full-time;1–3 tahun;Minimal Diploma (D1 - D4);;;;Technical Writer;Glints;2 hari yang lalu;Tidak dicantumkan
Content Writer;PT Hausjo Digital Pro;Tangerang, Banten;Indonesia;Full-time;1–3 tahun;Minimal Diploma (D1 - D4);;;;Technical Writer;Glints;16 hari yang lalu;Tidak dicantumkan
Script writer;Safwan Quran Store;Bandung, Jawa Barat;Indonesia;Contract;1–3 tahun;Minimal Diploma (D1 - D4);;;;Technical Writer;Glints;8 hari yang lalu;Tidak dicantumkan
Content Writer;Crawl Compass;Jakarta Selatan, DKI Jakarta;Indonesia;Full-time;1–3 tahun;Minimal Sarjana (S1);;;;Technical Writer;Glints;13 hari yang lalu;Tidak dicantumkan
Copy writer;Seniman Bocah Studio;Kab. Bangli, Bali;Indonesia;Full-time;1–3 tahun;Minimal Sarjana (S1);;;;Technical Writer;Glints;29 hari yang lalu;Tidak dicantumkan
Legal Writer;Hukumonline.com;Jakarta Selatan, DKI Jakarta;Indonesia;Full-time;Penuh Waktu;1–3 tahun;;;;Technical Writer;Glints;16 hari yang lalu;Tidak dicantumkan
Copy writer;Motion The Agency;Kab. Badung, Bali;Indonesia;Remote;Freelance;3–5 tahun;;;;Technical Writer;Glints;17 hari yang lalu;Tidak dicantumkan
Content Writer;Dabtive;Kab. Sleman, DI Yogyakarta;Indonesia;Full-time;1–3 tahun;Minimal Diploma (D1 - D4);;;;Technical Writer;Glints;27 hari yang lalu;Tidak dicantumkan
Content Writer;Renjana Cashew;Surabaya, Jawa Timur;Indonesia;Internship;Minimal Diploma (D1 - D4);Creative Writing;;;;Technical Writer;Glints;29 hari yang lalu;Tidak dicantumkan
Content Writer;Edubridge;Jakarta Utara, DKI Jakarta;Indonesia;Internship;1–3 tahun;Minimal Sarjana (S1);;;;Technical Writer;Glints;6 hari yang lalu;Tidak dicantumkan
Technical Writer (Lending Multifinance) - ASAP, WFO Jakarta area;PT Sigma Global Teknologi;Jakarta Selatan, DKI Jakarta;Indonesia;Contract;3–5 tahun;Minimal Diploma (D1 - D4);;;;Technical Writer;Glints;10 hari yang lalu;Tidak dicantumkan
Content Writer;The American University of Science;Quận Ba, Vietnam;Vietnam;Full-time;1–3 tahun;Minimal Sarjana (S1);;;;Technical Writer;Glints;3 hari yang lalu;Tidak dicantumkan
Content Writer;Arthalestara Talent;Jakarta Barat, DKI Jakarta;Indonesia;Full-time;Minimal SMA/SMK;Marketing Communications;;;;Technical Writer;Glints;8 hari yang lalu;Tidak dicantumkan
Content Writer & Social Media Specialist;14DAYPILOT FLIGHT ACADEMY;Jakarta Utara, DKI Jakarta;Indonesia;Full-time;1–3 tahun;Minimal Diploma (D1 - D4);;;;Technical Writer;Glints;21 menit yang lalu;Tidak dicantumkan
QA & Documentation;Iweka Digital Solusi;Medan, Sumatera Utara;Indonesia;Full-time;1–3 tahun;Minimal Sarjana (S1);;;;Documentation Specialist;Glints;6 hari yang lalu;Tidak dicantumkan
Export Documentation;PT Star Concord Indonesia;Jakarta Pusat, DKI Jakarta;United States;Full-time;1–3 tahun;Minimal Diploma (D1 - D4);;;;Documentation Specialist;Glints;30 hari yang lalu;Tidak dicantumkan
System Analyst and Documentation Staff;AAInvestment;Kab. Sleman, DI Yogyakarta;Indonesia;Full-time;Kontrak;1–3 tahun;;;;Documentation Specialist;Glints;8 hari yang lalu;Tidak dicantumkan
MARKETPLACE SPECIALIST;PT Sukses Bersama Sanwen (Pawsitive Vibes);Jakarta Barat, DKI Jakarta;Indonesia;Full-time;1–3 tahun;Minimal Sarjana (S1);;;;Documentation Specialist;Glints;3 hari yang lalu;Tidak dicantumkan
Affiliator Specialist;PT. TIGA RAJA PERKASA;Surabaya, Jawa Timur;Indonesia;Full-time;1–3 tahun;Minimal Sarjana (S1);;;;Documentation Specialist;Glints;Kemarin;Tidak dicantumkan
Ahli Struktur;PT Parama Laga Energi;Kab. Bandung, Jawa Barat;Indonesia;Contract;3–5 tahun;Minimal Sarjana (S1);;;;Documentation Specialist;Glints;Kemarin;Tidak dicantumkan
Customer Service Export Import Documentation Staff;PT DINAMIKA EXPRESSINDO;Jakarta Utara, DKI Jakarta;Indonesia;Full-time;1–3 tahun;Minimal SMA/SMK;;;;Documentation Specialist;Glints;29 hari yang lalu;Tidak dicantumkan
Marketing Specialist;Handal Consulting & Training;Jakarta Pusat, DKI Jakarta;United States;Full-time;3–5 tahun;Minimal Diploma (D1 - D4);;;;Documentation Specialist;Glints;3 hari yang lalu;Tidak dicantumkan
KOL Specialist;PT Self Media Agency;Kab. Jember, Jawa Timur;Indonesia;Remote;Freelance;1–3 tahun;;;;Documentation Specialist;Glints;7 hari yang lalu;Tidak dicantumkan
KOL Specialist;iCOMates®;Jakarta Selatan, DKI Jakarta;Indonesia;Contract;1–3 tahun;Minimal Sarjana (S1);;;;Documentation Specialist;Glints;Kemarin;Tidak dicantumkan
Social Media Specialist;PT Netizen Harapan Lestari;Kab. Tangerang, Banten;Indonesia;Full-time;Minimal SMA/SMK;Instagram Marketing;;;;Documentation Specialist;Glints;Kemarin;Tidak dicantumkan
Customs Documentation Clerk (Customs Clearance & Export Document;ACTalent Fresh Career;Jakarta Pusat, DKI Jakarta;United States;Full-time;3–5 tahun;Minimal Sarjana (S1);;;;Documentation Specialist;Glints;6 hari yang lalu;Tidak dicantumkan
Digital Advertiser / Ads Specialist;Bintang Junior Pusat;Bekasi, Jawa Barat;Indonesia;Full-time;Penuh Waktu;1–3 tahun;;;;Documentation Specialist;Glints;3 jam yang lalu;Tidak dicantumkan
Social Media Content Specialist;Roschel;Jakarta Barat, DKI Jakarta;Indonesia;Full-time;Minimal SMA/SMK;Video Content Operation;;;;Documentation Specialist;Glints;Kemarin;Tidak dicantumkan
Social Media Specialist (TikTok);Racabel;Kab. Bandung, Jawa Barat;Indonesia;Full-time;1–3 tahun;Minimal SMA/SMK;;;;Documentation Specialist;Glints;2 hari yang lalu;Tidak dicantumkan
Online Customer Support Specialist;Airpaz.com;Kab. Sleman, DI Yogyakarta;Indonesia;Full-time;1–3 tahun;Minimal Sarjana (S1);;;;Documentation Specialist;Glints;6 hari yang lalu;Tidak dicantumkan
Social Media & Content Specialist;SipnPack Indonesia;Jakarta Selatan, DKI Jakarta;Indonesia;Full-time;3–5 tahun;Minimal Sarjana (S1);;;;Documentation Specialist;Glints;7 hari yang lalu;Tidak dicantumkan
Tender & Bidding Specialist;PT Orbit Sukses Indonesia;Jakarta Selatan, DKI Jakarta;Indonesia;Full-time;1–3 tahun;Minimal Diploma (D1 - D4);;;;Documentation Specialist;Glints;6 hari yang lalu;Tidak dicantumkan
DRIVER ONLINE PROFESSIONAL JAKARTA TIMUR;Bluebird Halim;Jakarta Timur, DKI Jakarta;Indonesia;Full-time;Minimal SD;Google Maps;;;;Documentation Specialist;Glints;Kemarin;Tidak dicantumkan
Social Media Specialist;PT RADIANCE ALFA MAS;Jakarta Barat, DKI Jakarta;Indonesia;Full-time;1–3 tahun;Minimal Diploma (D1 - D4);;;;Documentation Specialist;Glints;3 hari yang lalu;Tidak dicantumkan
Industrial Sales Specialist;FOTEC;Jakarta Utara, DKI Jakarta;Indonesia;Full-time;5–10 tahun;Minimal Sarjana (S1);;;;Documentation Specialist;Glints;3 hari yang lalu;Tidak dicantumkan
Kol Specialist & Affiliate Specialist;Alqeera.Official;Kab. Bandung, Jawa Barat;Indonesia;Full-time;1–3 tahun;Minimal Sarjana (S1);;;;Documentation Specialist;Glints;2 hari yang lalu;Tidak dicantumkan
Content Writer & Social Media Specialist;14DAYPILOT FLIGHT ACADEMY;Jakarta Utara, DKI Jakarta;Indonesia;Full-time;1–3 tahun;Minimal Diploma (D1 - D4);;;;Documentation Specialist;Glints;21 menit yang lalu;Tidak dicantumkan
Accounts Receivable Assistant Manager/Specialist;Glints Taploker;Batam, Kepulauan Riau;Indonesia;Full-time;3–5 tahun;Minimal Sarjana (S1);;;;Documentation Specialist;Glints;Kemarin;Tidak dicantumkan
Online Sales Specialist (Ed-Tech);Algorithmics Global FZE;Jakarta Selatan, DKI Jakarta;Indonesia;Remote;Penuh Waktu;1–3 tahun;;;;Documentation Specialist;Glints;6 hari yang lalu;Tidak dicantumkan
KOL Specialist & Affiliate Specialist;PT Yolita Jaya Indonesia;Kab. Bandung Barat, Jawa Barat;Indonesia;Contract;1–3 tahun;Minimal Sarjana (S1);;;;Documentation Specialist;Glints;9 hari yang lalu;Tidak dicantumkan
Ads Specialist & Content Marketing - Bandung Area;English 1 (HS Group);Bandung, Jawa Barat;Indonesia;Full-time;1–3 tahun;Minimal Sarjana (S1);;;;Documentation Specialist;Glints;Kemarin;Tidak dicantumkan
Operator 3D Printing / 3D Printing Specialist;Octoprint;Tangerang, Banten;Indonesia;Full-time;1–3 tahun;Minimal SMA/SMK;;;;Documentation Specialist;Glints;6 hari yang lalu;Tidak dicantumkan
KOL & Social Media Specialist;PT. XUSHENG MAJU SENTOSA;Jakarta Barat, DKI Jakarta;Indonesia;Full-time;1–3 tahun;Minimal SMA/SMK;;;;Documentation Specialist;Glints;7 hari yang lalu;Tidak dicantumkan
KOL Specialist (Affilliate Specialist);Beauty Plan;Jakarta Barat, DKI Jakarta;Indonesia;Full-time;1–3 tahun;Minimal SMA/SMK;;;;Documentation Specialist;Glints;31 hari yang lalu;Tidak dicantumkan
Instructional Designer;ABT Learning;Kab. Tangerang, Banten;Indonesia;Contract;3–5 tahun;Minimal Sarjana (S1);;;;Instructional Designer;Glints;8 hari yang lalu;Tidak dicantumkan
Instructional Designer Intern;Look Media;Jakarta Selatan, DKI Jakarta;Indonesia;Internship;Minimal Sarjana (S1);Critical Thinking;;;;Instructional Designer;Glints;16 hari yang lalu;Tidak dicantumkan
Learning Design Specialist/Instructional Designer (K12 EdTech);Step Up English;Quận Cầu Giấy, Vietnam;Vietnam;Full-time;1–3 tahun;Minimal Sarjana (S1);;;;Instructional Designer;Glints;Kemarin;Tidak dicantumkan
3D Designer;PT Redpod Indonesia;Jakarta Utara, DKI Jakarta;Indonesia;Full-time;3–5 tahun;Minimal Sarjana (S1);;;;Instructional Designer;Glints;5 hari yang lalu;Tidak dicantumkan
3D Designer;PT Sakti Rekatama Cipta;Jakarta Selatan, DKI Jakarta;Indonesia;Full-time;5–10 tahun;Minimal Sarjana (S1);;;;Instructional Designer;Glints;20 hari yang lalu;Tidak dicantumkan
Graphic Designer;NCY;Kab. Tangerang, Banten;Indonesia;Full-time;1–3 tahun;Minimal Diploma (D1 - D4);;;;Instructional Designer;Glints;7 hari yang lalu;Tidak dicantumkan
3D DESIGNER;Action+;Jakarta Selatan, DKI Jakarta;Indonesia;Full-time;1–3 tahun;Minimal Sarjana (S1);;;;Instructional Designer;Glints;28 menit yang lalu;Tidak dicantumkan
3D Designer;TBA Communication;Quận Hai, Vietnam;Vietnam;Full-time;3–5 tahun;Minimal College Degree;;;;Instructional Designer;Glints;17 hari yang lalu;Tidak dicantumkan
3D Designer;IROASIA;Jakarta Barat, DKI Jakarta;Indonesia;Full-time;1–3 tahun;Minimal Sarjana (S1);;;;Instructional Designer;Glints;Kemarin;Tidak dicantumkan
3D Designer;CREASIA GROUP;Quận Bốn, Vietnam;Vietnam;Full-time;1–3 tahun;Minimal Sarjana (S1);;;;Instructional Designer;Glints;2 hari yang lalu;Tidak dicantumkan
3D Designer;CÔNG TY TNHH BGROUP MARKETING AGENCY;Quận Gò Vấp, Vietnam;Vietnam;Full-time;1–3 tahun;Minimal Sarjana (S1);;;;Instructional Designer;Glints;10 hari yang lalu;Tidak dicantumkan
Designer;PT Ahlaan Vista Abadi;Tangerang Selatan, Banten;Indonesia;Full-time;1–3 tahun;Minimal Sarjana (S1);;;;Instructional Designer;Glints;Kemarin;Tidak dicantumkan
[Internship] Textile Designer;Worldwhite Enterprise;Jakarta Selatan, DKI Jakarta;Indonesia;Full-time;Minimal SMA/SMK;Textile Sampling;;;;Instructional Designer;Glints;2 jam yang lalu;Tidak dicantumkan
3D Designer / Visualizer;CV Aswaru Visual Media;Denpasar, Bali;Indonesia;Full-time;1–3 tahun;Minimal SMA/SMK;;;;Instructional Designer;Glints;3 jam yang lalu;Tidak dicantumkan
Creative 3D Designer;Peepl;Jakarta Selatan, DKI Jakarta;Indonesia;Contract;1–3 tahun;Minimal Sarjana (S1);;;;Instructional Designer;Glints;6 hari yang lalu;Tidak dicantumkan
Designer;TALENTA SANTAI INDONESIA;Kab. Badung, Bali;Indonesia;Full-time;3–5 tahun;Minimal Diploma (D1 - D4);;;;Instructional Designer;Glints;3 hari yang lalu;Tidak dicantumkan
Graphic Designer;PT. Bogajaya Sukses Abadi;Jakarta Utara, DKI Jakarta;Indonesia;Full-time;1–3 tahun;Minimal SMA/SMK;;;;Instructional Designer;Glints;2 jam yang lalu;Tidak dicantumkan
Senior 3D Designer;CREASIA GROUP;Quận Bốn, Vietnam;Vietnam;Full-time;3–5 tahun;Minimal College Degree;;;;Instructional Designer;Glints;Kemarin;Tidak dicantumkan
Graphic Designer;PT Digital Fajar Buana;Jakarta Selatan, DKI Jakarta;Indonesia;Full-time;Penuh Waktu;5–10 tahun;;;;Instructional Designer;Glints;3 hari yang lalu;Tidak dicantumkan
Fashion Designer;Bersama Warna Group;Surakarta, Jawa Tengah;Indonesia;Full-time;1–3 tahun;Minimal Diploma (D1 - D4);;;;Instructional Designer;Glints;8 hari yang lalu;Tidak dicantumkan
Graphic Designer;Pt. Modiva International;Tangerang, Banten;Indonesia;Full-time;1–3 tahun;Minimal Sarjana (S1);;;;Instructional Designer;Glints;2 hari yang lalu;Tidak dicantumkan
Graphic Designer & Motion Designer;PT. Smile Lab;Jakarta Selatan, DKI Jakarta;Indonesia;Full-time;1–3 tahun;Minimal Sarjana (S1);;;;Instructional Designer;Glints;10 hari yang lalu;Tidak dicantumkan
Graphic Designer;IT Solution;Kab. Sleman, DI Yogyakarta;Indonesia;Full-time;Minimal SMA/SMK;Canva Design;;;;Instructional Designer;Glints;2 hari yang lalu;Tidak dicantumkan
Senior 3D Designer;PG GROUP;Quận Ba, Vietnam;Vietnam;Full-time;3–5 tahun;Minimal Sarjana (S1);;;;Instructional Designer;Glints;10 hari yang lalu;Tidak dicantumkan
Creative Designer;Bersama Warna Group;Surakarta, Jawa Tengah;Indonesia;Full-time;1–3 tahun;Minimal Diploma (D1 - D4);;;;Instructional Designer;Glints;7 hari yang lalu;Tidak dicantumkan
3D Designer / 3D Artist;Minute Kreasi Asia;Jakarta Selatan, DKI Jakarta;Indonesia;Full-time;1–3 tahun;Minimal Sarjana (S1);;;;Instructional Designer;Glints;14 hari yang lalu;Tidak dicantumkan
UA 3D Designer;NEXON Networks VINA;Quận Bảy, Vietnam;Vietnam;Full-time;1–3 tahun;Minimal College Degree;;;;Instructional Designer;Glints;9 hari yang lalu;Tidak dicantumkan
Graphic Designer;Clever Solutions;Kab. Semarang, Jawa Tengah;Indonesia;Full-time;1–3 tahun;Minimal SMA/SMK;;;;Instructional Designer;Glints;6 hari yang lalu;Tidak dicantumkan
Senior 3D Designer;CÔNG TY TNHH BGROUP MARKETING AGENCY;Quận Gò Vấp, Vietnam;Vietnam;Full-time;3–5 tahun;Minimal Sarjana (S1);;;;Instructional Designer;Glints;10 hari yang lalu;Tidak dicantumkan
Staff Front Office;Yayasan Sumba Hospitality;Kab. Sumba Barat Daya, Nusa Tenggara Timur;United States;Full-time;1–3 tahun;Minimal Diploma (D1 - D4);;;;Data Privacy Officer;Glints;6 hari yang lalu;Tidak dicantumkan
Staff Front Office;PT Solutiva Consulting Indonesia;Kab. Bogor, Jawa Barat;Indonesia;Contract;1–3 tahun;Minimal SMA/SMK;;;;Data Privacy Officer;Glints;3 jam yang lalu;Tidak dicantumkan
Staf Front Office;CV Schala;Bandung, Jawa Barat;Indonesia;Full-time;1–3 tahun;Minimal SMA/SMK;;;;Data Privacy Officer;Glints;19 hari yang lalu;Tidak dicantumkan
Staff Front Office;CV. MITRA PRATAMA;Kab. Badung, Bali;Indonesia;Full-time;1–3 tahun;Minimal SMA/SMK;;;;Data Privacy Officer;Glints;6 hari yang lalu;Tidak dicantumkan
DI CARI CEPAT STAFF FRONT OFFICE;Cleon Fitness Premium;Denpasar, Bali;Indonesia;Full-time;1–3 tahun;Minimal SMA/SMK;;;;Data Privacy Officer;Glints;5 hari yang lalu;Tidak dicantumkan
Staff Front Office (Travel Haji Umrah);Sercin;Kab. Bogor, Jawa Barat;Indonesia;Contract;1–3 tahun;Minimal SMA/SMK;;;;Data Privacy Officer;Glints;5 hari yang lalu;Tidak dicantumkan
ADMIN & FRONT OFFICE;Anyon Heritage;Kab. Badung, Bali;Indonesia;Full-time;1–3 tahun;Minimal SMA/SMK;;;;Data Privacy Officer;Glints;13 hari yang lalu;Tidak dicantumkan
SALES OFFICER;Lollypop Preschool;Jakarta Pusat, DKI Jakarta;United States;Full-time;1–3 tahun;Minimal Sarjana (S1);;;;Data Privacy Officer;Glints;Kemarin;Tidak dicantumkan
Data Scientist;PT Talent Placement Consulting Indonesia;Jakarta Utara, DKI Jakarta;Indonesia;Contract;3–5 tahun;Minimal Sarjana (S1);;;;Data Privacy Officer;Glints;3 jam yang lalu;Tidak dicantumkan
Data Engineer;Altek Citra Cemerlang;Jakarta Pusat, DKI Jakarta;United States;Contract;3–5 tahun;Minimal Diploma (D1 - D4);;;;Data Privacy Officer;Glints;4 jam yang lalu;Tidak dicantumkan
Data Analyst;Nusantara Sakti Group;Jakarta Barat, DKI Jakarta;Indonesia;Full-time;1–3 tahun;Minimal Sarjana (S1);;;;Data Privacy Officer;Glints;13 jam yang lalu;Tidak dicantumkan
Data Quality Control (Data QC);PT Foktutek Teknologi Internasional;Jakarta Barat, DKI Jakarta;Indonesia;Full-time;1–3 tahun;Minimal SMA/SMK;;;;Data Privacy Officer;Glints;7 hari yang lalu;Tidak dicantumkan
Data Analyts;PT Safepedia Global Teknologi;Jakarta Selatan, DKI Jakarta;Indonesia;Full-time;1–3 tahun;Minimal Sarjana (S1);;;;Data Privacy Officer;Glints;2 hari yang lalu;Tidak dicantumkan
Accounting Officer;Maigeiwo Express;Jakarta Barat, DKI Jakarta;Indonesia;Full-time;1–3 tahun;Minimal Sarjana (S1);;;;Data Privacy Officer;Glints;6 hari yang lalu;Tidak dicantumkan
Data Analis;PT HONGYI ASSET MANAJEMEN;Bekasi, Jawa Barat;Indonesia;Full-time;1–3 tahun;Minimal SMA/SMK;;;;Data Privacy Officer;Glints;5 hari yang lalu;Tidak dicantumkan
Data Analyst;PT Keranjang Sukses Indonesia;Kab. Badung, Bali;Indonesia;Full-time;Minimal Diploma (D1 - D4);Python;;;;Data Privacy Officer;Glints;Kemarin;Tidak dicantumkan
Data Analis;PT Markaz Jalan Bersama;Tangerang Selatan, Banten;Indonesia;Full-time;Minimal Sarjana (S1);Microsoft Excel;;;;Data Privacy Officer;Glints;6 hari yang lalu;Tidak dicantumkan
Data entry;Pt. Esa Gemilang Sakti;Jakarta Barat, DKI Jakarta;Indonesia;Full-time;1–3 tahun;Minimal SMA/SMK;;;;Data Privacy Officer;Glints;6 hari yang lalu;Tidak dicantumkan
Data Analyst;Unitech Indonesia;Malang, Jawa Timur;Indonesia;Full-time;1–3 tahun;Minimal Sarjana (S1);;;;Data Privacy Officer;Glints;2 hari yang lalu;Tidak dicantumkan
Data Analyst;Alcavella Indonesia;Kab. Bandung, Jawa Barat;Indonesia;Full-time;1–3 tahun;Minimal Sarjana (S1);;;;Data Privacy Officer;Glints;2 hari yang lalu;Tidak dicantumkan
Data Entry;Leoni Bali Gelato;Kab. Badung, Bali;Indonesia;Full-time;Minimal SMA/SMK;Database Management;;;;Data Privacy Officer;Glints;7 hari yang lalu;Tidak dicantumkan
Data Engineer;Pt. Solusi Pembayaran Elektronik;Tangerang, Banten;Indonesia;Full-time;Penuh Waktu;3–5 tahun;;;;Data Privacy Officer;Glints;3 hari yang lalu;Tidak dicantumkan
Data Analyst;cmlabs.co;Malang, Jawa Timur;Indonesia;Remote;Penuh Waktu;1–3 tahun;;;;Data Privacy Officer;Glints;3 hari yang lalu;Tidak dicantumkan
Data Entry;Momsfluencer;Yogyakarta, DI Yogyakarta;Indonesia;Full-time;Minimal SMA/SMK;Microsoft Excel;;;;Data Privacy Officer;Glints;3 hari yang lalu;Tidak dicantumkan
Data Analyst;PT Tata Jago Utama (KABOBS Premium Kebab);Bandung, Jawa Barat;Indonesia;Full-time;1–3 tahun;Minimal Sarjana (S1);;;;Data Privacy Officer;Glints;8 hari yang lalu;Tidak dicantumkan
Data Analyst;PT Fan Integrasi Teknologi;Bandung, Jawa Barat;Indonesia;Full-time;3–5 tahun;Minimal Diploma (D1 - D4);;;;Data Privacy Officer;Glints;9 hari yang lalu;Tidak dicantumkan
Data Engineer;PT Badr Interactive;Depok, Jawa Barat;Indonesia;Full-time;Kontrak;1–3 tahun;;;;Data Privacy Officer;Glints;9 hari yang lalu;Tidak dicantumkan
Data Analyst;Kan Jia Indonesia;Jakarta Timur, DKI Jakarta;Indonesia;Full-time;1–3 tahun;Minimal Diploma (D1 - D4);;;;Data Privacy Officer;Glints;5 hari yang lalu;Tidak dicantumkan
Data Scientist;Mobius Digital;Jakarta Pusat, DKI Jakarta;United States;Remote;Penuh Waktu;3–5 tahun;;;;Data Privacy Officer;Glints;5 hari yang lalu;Tidak dicantumkan
Data Engineer;PT Pronata Data Insani;Jakarta Selatan, DKI Jakarta;Indonesia;Full-time;1–3 tahun;Minimal Sarjana (S1);;;;Data Privacy Officer;Glints;10 hari yang lalu;Tidak dicantumkan
Data Analis;Lozy;Tasikmalaya, Jawa Barat;Indonesia;Contract;1–3 tahun;Minimal Diploma (D1 - D4);;;;Data Privacy Officer;Glints;11 hari yang lalu;Tidak dicantumkan
